
model=librenms-qwen think=False temps=[0.0, 0.7]

--- temperature 0.0 ---
  Path B (hybrid):        132/132 (100%)
  Path A (direct):        94/132 (71%)
  Atomic subset: B=90/90 (100%)  A=55/90 (61%)
  Path A status preserved: 85/90 (94%)
  Path A entity resolved:  60/90 (67%)
    [A] T46-original                        B=PASS  A=PASS
    [A] T46-original                        B=PASS  A=PASS
    [A] T46-original                        B=PASS  A=PASS
    [A] T46-original                        B=PASS  A=PASS
    [A] T46-original                        B=PASS  A=PASS
    [B] T46-var-Sw46                        B=PASS  A=PASS
    [B] T46-var-Sw46                        B=PASS  A=PASS
    [B] T46-var-Sw46                        B=PASS  A=PASS
    [B] T46-var-Sw46                        B=PASS  A=PASS
    [B] T46-var-Sw46                        B=PASS  A=PASS
    [B] T46-var-SW46-ayakta                 B=PASS  A=FAIL
    [B] T46-var-SW46-ayakta                 B=PASS  A=FAIL
    [B] T46-var-SW46-ayakta                 B=PASS  A=FAIL
    [B] T46-var-SW46-ayakta                 B=PASS  A=FAIL
    [B] T46-var-SW46-ayakta                 B=PASS  A=FAIL
    [B] T46-var-sw46-space                  B=PASS  A=PASS
    [B] T46-var-sw46-space                  B=PASS  A=PASS
    [B] T46-var-sw46-space                  B=PASS  A=PASS
    [B] T46-var-sw46-space                  B=PASS  A=PASS
    [B] T46-var-sw46-space                  B=PASS  A=PASS
    [B] T46-var-SW46-erisilebilir           B=PASS  A=PASS
    [B] T46-var-SW46-erisilebilir           B=PASS  A=PASS
    [B] T46-var-SW46-erisilebilir           B=PASS  A=PASS
    [B] T46-var-SW46-erisilebilir           B=PASS  A=PASS
    [B] T46-var-SW46-erisilebilir           B=PASS  A=PASS
    [B] T46-var-durumu                      B=PASS  A=PASS
    [B] T46-var-durumu                      B=PASS  A=PASS
    [B] T46-var-durumu                      B=PASS  A=PASS
    [B] T46-var-durumu                      B=PASS  A=PASS
    [B] T46-var-durumu                      B=PASS  A=PASS
    [C] T46-down-sw47                       B=PASS  A=FAIL
    [C] T46-down-sw47                       B=PASS  A=FAIL
    [C] T46-down-sw47                       B=PASS  A=FAIL
    [C] T46-down-sw47                       B=PASS  A=FAIL
    [C] T46-down-sw47                       B=PASS  A=FAIL
    [C] T46-unknown-sw48                    B=PASS  A=FAIL
    [C] T46-unknown-sw48                    B=PASS  A=FAIL
    [C] T46-unknown-sw48                    B=PASS  A=FAIL
    [C] T46-unknown-sw48                    B=PASS  A=FAIL
    [C] T46-unknown-sw48                    B=PASS  A=FAIL
    [D] T46-similar-sw46                    B=PASS  A=PASS
    [D] T46-similar-sw46                    B=PASS  A=PASS
    [D] T46-similar-sw46                    B=PASS  A=PASS
    [D] T46-similar-sw46                    B=PASS  A=PASS
    [D] T46-similar-sw46                    B=PASS  A=PASS
    [D] T46-similar-sw460                   B=PASS  A=PASS
    [D] T46-similar-sw460                   B=PASS  A=PASS
    [D] T46-similar-sw460                   B=PASS  A=PASS
    [D] T46-similar-sw460                   B=PASS  A=PASS
    [D] T46-similar-sw460                   B=PASS  A=PASS
    [D] T46-similar-sw460-hyphen            B=PASS  A=PASS
    [D] T46-similar-sw460-hyphen            B=PASS  A=PASS
    [D] T46-similar-sw460-hyphen            B=PASS  A=PASS
    [D] T46-similar-sw460-hyphen            B=PASS  A=PASS
    [D] T46-similar-sw460-hyphen            B=PASS  A=PASS
    [B] T46-SW47-upper                      B=PASS  A=FAIL
    [B] T46-SW47-upper                      B=PASS  A=FAIL
    [B] T46-SW47-upper                      B=PASS  A=FAIL
    [B] T46-SW47-upper                      B=PASS  A=FAIL
    [B] T46-SW47-upper                      B=PASS  A=FAIL
    [B] T46-core01                          B=PASS  A=PASS
    [B] T46-core01                          B=PASS  A=PASS
    [B] T46-core01                          B=PASS  A=PASS
    [B] T46-core01                          B=PASS  A=PASS
    [B] T46-core01                          B=PASS  A=PASS
    [C] T46-core02                          B=PASS  A=PASS
    [C] T46-core02                          B=PASS  A=PASS
    [C] T46-core02                          B=PASS  A=PASS
    [C] T46-core02                          B=PASS  A=PASS
    [C] T46-core02                          B=PASS  A=PASS
    [E] T46-ambiguous-core                  B=PASS  A=PASS
    [E] T46-ambiguous-core                  B=PASS  A=PASS
    [E] T46-ambiguous-core                  B=PASS  A=PASS
    [F] T46-unknown-depo                    B=PASS  A=PASS
    [F] T46-unknown-depo                    B=PASS  A=PASS
    [F] T46-unknown-depo                    B=PASS  A=PASS
    [G] T46-investigation-problem           B=PASS  A=PASS
    [G] T46-investigation-problem           B=PASS  A=PASS
    [G] T46-investigation-problem           B=PASS  A=PASS
    [G] T46-investigation-users             B=PASS  A=PASS
    [G] T46-investigation-users             B=PASS  A=PASS
    [G] T46-investigation-users             B=PASS  A=PASS
    [H] T46-historical-dun                  B=PASS  A=PASS
    [H] T46-historical-dun                  B=PASS  A=PASS
    [H] T46-historical-dun                  B=PASS  A=PASS
    [H] T46-historical-week                 B=PASS  A=PASS
    [H] T46-historical-week                 B=PASS  A=PASS
    [H] T46-historical-week                 B=PASS  A=PASS
    [typo] V2-typo-sq46                        B=PASS  A=FAIL
    [typo] V2-typo-sq46                        B=PASS  A=FAIL
